id,member_id,loan_amnt,funded_amnt,term,int_rate,exp_default_rate,service_fee_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,is_inc_v,accept_d,exp_d,list_d,credit_pull_d,review_status_d,review_status,url,desc,purpose,title,zip_code,addr_state,msa,acc_now_delinq,acc_open_past_24mths,bc_open_to_buy,percent_bc_gt_75,bc_util,dti,delinq_2yrs,delinq_amnt,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,mths_since_recent_inq,mths_since_recent_revol_delinq,mths_since_recent_bc,mort_acc,open_acc,pub_rec,total_bal_ex_mort,revol_bal,revol_util,total_bc_limit,total_acc,total_il_high_credit_limit,num_rev_accts,mths_since_recent_bc_dlq,initial_list_status,ils_exp_d,pub_rec_bankruptcies,num_accts_ever_120_pd,chargeoff_within_12_mths,collections_12_mths_ex_med,tax_liens,mths_since_last_major_derog,num_sats,num_tl_op_past_12m,mo_sin_rcnt_tl,tot_hi_cred_lim,tot_cur_bal,avg_cur_bal,num_bc_tl,num_actv_bc_tl,num_bc_sats,pct_tl_nvr_dlq,num_tl_90g_dpd_24m,num_tl_30dpd,num_tl_120dpd_2m,num_il_tl,mo_sin_old_il_acct,num_actv_rev_tl,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,total_rev_hi_lim,num_rev_tl_bal_gt_0,num_op_rev_tl,tot_coll_amt,effective_int_rate,application_type,disbursement_method,annual_inc_joint,dti_joint,verified_status_joint,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,inq_fi,total_cu_tl,inq_last_12m,mtg_payment,housing_payment,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog
"134682180","152714950","34000.0","33625.0","60","7.46","2.27","0.59","680.65","A","A4","Real Estate Broker","9 years","MORTGAGE","75000.0","Not Verified","06-04-2018 16:32:34","07-12-2018 14:00:00","06-12-2018 14:00:00","06-04-2018 16:28:43","06-12-2018 08:44:27","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=134682180"," ","Debt consolidation","Debt consolidation","770xx","TX","","0","3","28817","0.0","31.2","10.87","0","0.0","03-03-1980 16:00:00","770","774","2"," "," ","1"," ","2","1","10","0","103786","103161.0","26.7","41900","16","13430","8"," ","f","","0","0","0","0","0","null","10","2","2","157430","103786","11532","4","3","3","100","0","0","0","6","260","4","158","2","144000","4","5","0","7.48","INDIVIDUAL","DIRECT_PAY"," "," "," ","2","4","0","0","156","625.0","4.7","2","3","6375.0","22.0","1","1","6","0","353"," "," "," "," "," "," "," "," "," "," "," "," "," "
"134295531","151975314","15000.0","3475.0","36","10.07","3.95","0.97","484.51","B","B2","Day Program Instructor","10+ years","RENT","33000.0","Source Verified","05-29-2018 14:27:59","07-13-2018 14:28:00","06-18-2018 10:00:00","05-26-2018 13:33:12","06-18-2018 07:47:30","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=134295531"," ","Debt consolidation","Debt consolidation","212xx","MD","","0","3","7714","33.3","49.3","23.45","0","0.0","07-25-2007 17:00:00","705","709","0"," "," "," "," ","10","0","15","0","24940","21128.0","51.7","15200","42","12314","22"," ","f","","0","0","0","0","0","null","15","2","10","53214","24940","1663","9","2","3","100","0","0","0","20","130","5","130","10","40900","5","11","0","10.01","INDIVIDUAL","DIRECT_PAY"," "," "," ","0","4","0","0","87","3812.0","31.0","2","3","7370.0","46.9","0","6","0","0","955"," "," "," "," "," "," "," "," "," "," "," "," "," "
"134621300","152603205","10000.0","2475.0","36","13.06","7.40","1.15","337.23","C","C1","Business office","6 years","RENT","37000.0","Source Verified","06-03-2018 08:54:44","07-18-2018 08:57:34","06-18-2018 10:00:00","06-03-2018 08:39:06","06-18-2018 08:56:22","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=134621300"," ","Credit card refinancing","Credit card refinancing","922xx","CA","","0","7","12734","16.7","38.5","14.82","0","0.0","10-02-2004 17:00:00","695","699","1"," "," ","1"," ","9","0","11","0","12840","8039.0","31.0","20700","15","6000","12"," ","f","","0","0","0","0","0","null","11","2","9","31900","12840","1167","7","6","6","100","0","0","0","3","164","7","55","9","25900","7","10","0","12.80","INDIVIDUAL","CASH"," "," "," ","0","1","1","1","10","4801.0","80.0","1","6","2552.0","40.3","0","0","2","0","0"," "," "," "," "," "," "," "," "," "," "," "," "," "
"134723282","152756231","40000.0","36975.0","60","7.46","2.27","0.59","800.76","A","A4","CEO","10+ years","OWN","100000.0","Not Verified","06-07-2018 08:19:21","07-12-2018 06:00:00","06-12-2018 06:00:00","06-05-2018 12:40:21","06-11-2018 16:55:45","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=134723282"," ","Credit card refinancing","Credit card refinancing","470xx","IN","","0","1","38354","0.0","14.4","27.67","0","0.0","01-04-1976 16:00:00","815","819","0"," "," ","20"," ","152","2","8","0","72893","6446.0","14.4","44800","17","119541","5"," ","f","","0","0","0","0","0","null","8","0","20","544341","393011","49126","4","3","3","100","0","0","0","10","218","3","509","152","44800","3","3","0","7.48","INDIVIDUAL","CASH"," "," "," ","0","2","0","1","20","66447.0","13.8","0","0","3128.0","14.1","1","5","0","2315"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"134519300","152249025","40000.0","21700.0","60","11.05","3.98","0.68","870.7","B","B4","Machinist","< 1 year","MORTGAGE","60000.0","Source Verified","05-31-2018 12:21:12","07-15-2018 12:26:52","06-18-2018 10:00:00","05-31-2018 12:12:08","06-18-2018 09:24:31","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=134519300"," ","Debt consolidation","Debt consolidation","370xx","TN","","0","5","813","100.0","93.3","27.54","0","0.0","11-29-1996 16:00:00","715","719","1"," "," ","1"," ","24","2","9","0","40519","20897.0","56.6","12200","19","30611","9"," ","f","","0","0","0","0","0","null","9","1","9","67511","40519","4502","3","3","3","100","0","0","0","8","124","7","258","16","36900","7","8","0","11.04","JOINT","CASH","125000.0","15.4","Source Verified","0","0","1","3","9","19622.0","64.1","0","2","5017.0","60.0","4","1","11","0","1086","22599","640","644","11-29-1996 16:00:00","1","0","12","65.1","1","10","0","0"," "
"134675587","152690324","35000.0","23375.0","60","7.46","2.27","0.59","700.67","A","A4","Construction Tech 3","3 years","MORTGAGE","80000.0","Source Verified","06-04-2018 16:48:27","07-14-2018 18:00:00","06-14-2018 18:00:00","06-04-2018 13:52:02","06-14-2018 14:20:06","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=134675587"," ","Debt consolidation","Debt consolidation","693xx","NE","","0","1","26551","8.3","43.9","21.54","0","0.0","11-03-2006 16:00:00","730","734","0"," "," "," "," ","22","3","16","0","38493","24437.0","45.4","47300","22","41993","16"," ","f","","0","0","0","0","0","null","16","0","22","203902","128875","8055","12","11","12","100","0","0","0","3","102","13","131","22","53800","13","14","0","7.48","JOINT","CASH","160000.0","13.67","Source Verified","0","1","0","0","53","14056.0"," ","0","1","3965.0","45.4","0","0","0","1093.33","1100","37881","725","729","02-03-2002 16:00:00","1","3","12","63.7","1","14","0","0"," "
"134715024","152759939","20000.0","18325.0","60","7.46","2.27","0.59","400.38","A","A4","Technical Services Manager","1 year","RENT","84000.0","Not Verified","06-11-2018 10:33:51","07-11-2018 14:00:00","06-11-2018 14:00:00","06-05-2018 11:41:18","06-11-2018 10:35:20","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=134715024"," ","Other","Other","775xx","TX","","0","2","28126","0.0","14.5","22.99","0","0.0","01-04-2001 16:00:00","785","789","0"," "," ","8"," ","35","2","10","0","57451","11111.0","22.0","32900","23","57177","9"," ","f","","0","0","0","0","0","null","10","1","8","117182","57451","5745","6","2","4","100","0","0","0","10","142","4","209","35","50400","4","6","0","7.48","INDIVIDUAL","CASH"," "," "," ","0","2","1","2","8","40991.0","12.4","0","0","2433.0","24.4","0","3","3","0","1745"," "," "," "," "," "," "," "," "," "," "," "," "," "
"134697250","152734078","20000.0","5350.0","36","10.56","3.95","0.97","650.62","B","B3","","n/a","OWN","85000.0","Source Verified","06-05-2018 03:30:19","07-18-2018 10:00:00","06-18-2018 10:00:00","06-05-2018 03:27:48","06-18-2018 09:25:18","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=134697250"," ","Debt consolidation","Debt consolidation","863xx","AZ","","0","3","24000","0.0","0.0","11.9","0","0.0","10-04-1978 17:00:00","795","799","1"," "," ","2"," ","29","0","6","0","41642","0.0","0.0","24000","18","58034","13"," ","f","","0","0","0","0","0","null","6","2","4","99034","41642","6940","8","0","2","100","0","0","0","5","59","0","476","6","41000","0","4","0","10.50","JOINT","CASH","182000.0","20.21","Source Verified","2","2","1","1","4","41642.0","97.6","1","2","0.0","13.8","3","3","2","2808.87"," ","71001","570","574","12-04-1986 16:00:00","1","2","10","88.2","0","35","1","1","9"
"134854251","152924019","35000.0","29200.0","60","7.46","2.27","0.59","700.67","A","A4","Manager - Business System Solutions","10+ years","MORTGAGE","145000.0","Source Verified","06-09-2018 06:46:37","07-09-2018 10:00:00","06-09-2018 10:00:00","06-08-2018 04:37:53","06-09-2018 09:39:14","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=134854251"," ","Debt consolidation","Debt consolidation","121xx","NY","","0","4","9297","75.0","83.0","21.25","0","0.0","09-07-1990 17:00:00","700","704","0"," "," "," "," ","80","2","20","0","341777","80612.0","84.2","54600","32","225786","16"," ","f","","0","0","0","0","0","null","20","1","10","571486","561011","29527","7","4","4","100","0","0","0","14","301","6","333","22","95700","6","9","0","7.48","INDIVIDUAL","DIRECT_PAY"," "," "," ","0","10","1","3","10","261165.0","108.4","0","1","18970.0","99.5","0","8","0","1916.42","1200"," "," "," "," "," "," "," "," "," "," "," "," "," "
"134904789","152987827","10000.0","3375.0","36","14.03","7.40","1.15","341.93","C","C2","Firefighter","5 years","OWN","150000.0","Verified","06-09-2018 18:10:25","07-18-2018 10:00:00","06-18-2018 10:00:00","06-09-2018 18:08:06","06-18-2018 09:05:48","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=134904789"," ","Home improvement","Home improvement","125xx","NY","","0","10","6040","45.5","78.1","20.3","0","0.0","12-09-2005 16:00:00","680","684","0","34"," ","2","34","11","1","24","0","63655","34343.0","58.8","27600","39","49933","27","34","f","","0","0","0","0","0","null","24","4","6","417864","361047","15698","18","11","11","94","0","0","0","10","132","16","150","6","58400","16","19","0","13.77","JOINT","CASH","195000.0","28.91","Verified","1","3","1","2","8","27174.0","54.4","3","6","5899.0","55.3","1","0","3","2686.12"," ","108059","710","714","12-09-2005 16:00:00","1","1","48","34.9","6","49","0","0"," "
