id,member_id,loan_amnt,funded_amnt,term,int_rate,exp_default_rate,service_fee_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,is_inc_v,accept_d,exp_d,list_d,credit_pull_d,review_status_d,review_status,url,desc,purpose,title,zip_code,addr_state,msa,acc_now_delinq,acc_open_past_24mths,bc_open_to_buy,percent_bc_gt_75,bc_util,dti,delinq_2yrs,delinq_amnt,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,mths_since_recent_inq,mths_since_recent_revol_delinq,mths_since_recent_bc,mort_acc,open_acc,pub_rec,total_bal_ex_mort,revol_bal,revol_util,total_bc_limit,total_acc,total_il_high_credit_limit,num_rev_accts,mths_since_recent_bc_dlq,initial_list_status,ils_exp_d,pub_rec_bankruptcies,num_accts_ever_120_pd,chargeoff_within_12_mths,collections_12_mths_ex_med,tax_liens,mths_since_last_major_derog,num_sats,num_tl_op_past_12m,mo_sin_rcnt_tl,tot_hi_cred_lim,tot_cur_bal,avg_cur_bal,num_bc_tl,num_actv_bc_tl,num_bc_sats,pct_tl_nvr_dlq,num_tl_90g_dpd_24m,num_tl_30dpd,num_tl_120dpd_2m,num_il_tl,mo_sin_old_il_acct,num_actv_rev_tl,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,total_rev_hi_lim,num_rev_tl_bal_gt_0,num_op_rev_tl,tot_coll_amt,effective_int_rate,application_type,disbursement_method,annual_inc_joint,dti_joint,verified_status_joint,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,inq_fi,total_cu_tl,inq_last_12m,mtg_payment,housing_payment,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog
"134146381","151622636","40000.0","34025.0","60","7.46","2.27","0.59","800.76","A","A4","Executive Assistant","3 years","RENT","87000.0","Not Verified","05-25-2018 15:57:41","07-09-2018 16:03:42","06-20-2018 18:00:00","05-23-2018 15:51:49","06-20-2018 16:04:46","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=134146381"," ","Other","Other","700xx","LA","","0","0","10247","0.0","10.9","16.15","0","0.0","03-22-1993 16:00:00","825","829","0"," "," "," "," ","28","0","15","0","66204","1253.0","10.9","11500","20","97880","4"," ","f","","0","0","0","0","0","null","15","0","25","109380","66204","4414","4","2","3","100","0","0","0","15","116","2","93","28","11500","2","3","0","7.48","JOINT","CASH","173000.0","12.44","Not Verified","0","12","0","0","25","64951.0","66.4","0","0","822.0","60.5","0","0","0","0","600","23304","675","679","05-22-2009 17:00:00","0","0","5","87.9","1","5","0","0"," "
"134675587","152690324","35000.0","32975.0","60","7.46","2.27","0.59","700.67","A","A4","Construction Tech 3","3 years","MORTGAGE","80000.0","Source Verified","06-04-2018 16:48:27","07-14-2018 18:00:00","06-14-2018 18:00:00","06-04-2018 13:52:02","06-14-2018 14:20:06","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=134675587"," ","Debt consolidation","Debt consolidation","693xx","NE","","0","1","26551","8.3","43.9","21.54","0","0.0","11-03-2006 16:00:00","730","734","0"," "," "," "," ","22","3","16","0","38493","24437.0","45.4","47300","22","41993","16"," ","f","","0","0","0","0","0","null","16","0","22","203902","128875","8055","12","11","12","100","0","0","0","3","102","13","131","22","53800","13","14","0","7.48","JOINT","CASH","160000.0","13.67","Source Verified","0","1","0","0","53","14056.0"," ","0","1","3965.0","45.4","0","0","0","1093.33","1100","37881","725","729","02-03-2002 16:00:00","1","3","12","63.7","1","14","0","0"," "
"135025235","153094772","35000.0","28700.0","60","6.19","2.27","0.59","679.75","A","A2","senior vice president","7 years","MORTGAGE","230000.0","Verified","06-12-2018 15:25:30","07-14-2018 14:00:00","06-14-2018 14:00:00","06-12-2018 15:10:22","06-14-2018 11:43:32","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135025235"," ","Credit card refinancing","Credit card refinancing","223xx","VA","","0","0","7938","100.0","87.4","21.12","0","0.0","04-11-1994 17:00:00","740","744","0"," "," ","18"," ","132","1","5","0","236851","236851.0","80.5","110000","11","0","7"," ","f","","0","0","0","0","0","null","5","0","32","1415000","1199374","239875","4","2","2","100","0","0","0","3","106","4","290","43","260000","4","4","0","6.21","INDIVIDUAL","DIRECT_PAY"," "," "," ","0","0","0","0","32","0.0"," ","0","0","71457.0","80.5","3","0","0","7455.83","7000"," "," "," "," "," "," "," "," "," "," "," "," "," "
"135263351","153504615","30000.0","21500.0","60","7.46","2.27","0.59","600.57","A","A4","Loan Officer","5 years","MORTGAGE","250000.0","Source Verified","06-16-2018 12:00:32","07-22-2018 10:00:00","06-22-2018 10:00:00","06-15-2018 10:21:53","06-22-2018 08:01:47","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135263351"," ","Debt consolidation","Debt consolidation","774xx","TX","","0","4","24525","0.0","38.4","8.35","0","0.0","06-14-2004 17:00:00","775","779","0"," "," ","7"," ","19","4","8","0","75297","15275.0","32.0","39800","19","85634","9"," ","f","","0","0","0","0","0","null","8","1","7","524931","428498","53562","6","2","4","100","0","0","0","6","75","2","168","7","47800","2","5","0","7.48","JOINT","CASH","280000.0","8.94","Source Verified","0","2","0","1","20","60022.0"," ","1","2","12903.0","32.0","2","1","1","3551.33","3554","54287","755","759","01-14-2002 16:00:00","0","4","12","34.3","0","16","0","0"," "
"135030083","153112652","21000.0","14075.0","60","5.31","2.27","0.59","399.29","A","A1","Director of CAC/SAVAR","< 1 year","MORTGAGE","74500.0","Source Verified","06-17-2018 17:32:18","07-19-2018 18:00:00","06-19-2018 18:00:00","06-12-2018 19:57:48","06-19-2018 13:29:29","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135030083"," ","Credit card refinancing","Credit card refinancing","131xx","NY","","0","5","33182","0.0","30.6","13.02","0","0.0","07-12-2006 17:00:00","720","724","0"," "," ","5"," ","9","2","12","0","89390","15762.0","30.5","47800","32","70746","7"," ","f","","0","0","0","0","0","null","12","1","9","292966","248374","20698","4","4","4","100","0","0","0","23","143","5","91","9","51600","5","6","0","5.33","INDIVIDUAL","DIRECT_PAY"," "," "," ","0","4","0","1","17","73628.0","86.6","1","3","4099.0","51.9","2","0","2","1614.79","1183"," "," "," "," "," "," "," "," "," "," "," "," "," "
"135584147","153828210","11000.0","9250.0","36","5.31","1.88","0.83","331.22","A","A1","customer service representative","10+ years","MORTGAGE","70000.0","Source Verified","06-20-2018 19:38:04","07-21-2018 10:00:00","06-21-2018 10:00:00","06-19-2018 19:19:22","06-21-2018 08:45:20","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135584147"," ","Home improvement","Home improvement","751xx","TX","","0","2","12077","0.0","60.1","22.05","0","0.0","06-19-2001 17:00:00","700","704","1","34"," ","6"," ","110","2","12","0","45402","25041.0","62.8","30300","24","26967","12"," ","f","","0","0","0","0","0","null","12","2","6","207027","164648","14968","9","6","8","91","0","0","0","10","155","7","204","10","39900","7","9","0","5.31","INDIVIDUAL","CASH"," "," "," ","1","2","1","1","6","20361.0","75.5","1","1","7237.0","67.9","0","0","2","1611.75","800"," "," "," "," "," "," "," "," "," "," "," "," "," "
"135604036","153868172","7000.0","6125.0","36","16.46","7.40","1.15","247.7","C","C5","Technician ","4 years","OWN","59800.0","Not Verified","06-21-2018 16:43:02","07-21-2018 18:00:00","06-21-2018 18:00:00","06-20-2018 10:10:08","06-21-2018 16:57:03","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135604036"," ","Other","Other","774xx","TX","","0","6","3218","0.0","17.5","10.94","0","0.0","12-19-2004 16:00:00","675","679","2","36"," ","0"," ","7","1","9","0","20611","908.0","9.3","3900","13","19703","8"," ","f","","0","2","0","1","0","36","9","4","1","29503","20611","2290","4","3","3","83","0","0","0","3","147","4","35","4","9800","4","7","880","16.20","INDIVIDUAL","CASH"," "," "," ","2","1","1","1","1","19703.0","100.0","3","5","539.0","69.9","1","0","4","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"135256772","153519983","40000.0","7150.0","60","5.31","2.27","0.59","760.55","A","A1","Lab Tech. I","10+ years","MORTGAGE","102000.0","Not Verified","06-15-2018 08:50:39","07-18-2018 18:00:00","06-18-2018 18:00:00","06-15-2018 08:44:31","06-18-2018 15:12:17","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135256772"," ","Debt consolidation","Debt consolidation","451xx","OH","","0","12","64820","10.0","35.4","12.41","0","0.0","10-14-1995 17:00:00","740","744","1"," "," ","3"," ","10","4","20","0","57131","35978.0","27.8","100400","71","38130","46"," ","f","","0","0","0","0","0","null","20","5","4","383530","201302","10595","25","4","10","100","0","0","0","21","131","7","272","10","129400","7","18","0","5.33","INDIVIDUAL","DIRECT_PAY"," "," "," ","1","1","2","4","4","21153.0"," ","3","8","22503.0","27.8","3","3","5","1490.9","750"," "," "," "," "," "," "," "," "," "," "," "," "," "
"135312437","153544809","40000.0","8725.0","60","6.83","2.27","0.59","788.85","A","A3","Food Safety Manager ","10+ years","MORTGAGE","99000.0","Not Verified","06-15-2018 15:06:04","07-18-2018 10:00:00","06-18-2018 10:00:00","06-15-2018 14:42:19","06-18-2018 06:33:57","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135312437"," ","Credit card refinancing","Credit card refinancing","302xx","GA","","0","3","56021","0.0","7.3","23.2","0","0.0","07-14-1988 17:00:00","725","729","0","26"," ","4"," ","1","3","19","0","99952","21116.0","24.4","60400","37","74210","18"," ","f","","0","0","0","0","0","26","19","3","1","242714","172175","9062","10","4","8","94","0","0","0","16","155","6","359","1","86600","6","12","0","6.85","INDIVIDUAL","DIRECT_PAY"," "," "," ","3","6","2","2","2","78836.0","106.2","1","1","3617.0","62.2","0","5","1","495.83","495"," "," "," "," "," "," "," "," "," "," "," "," "," "
"135591842","153857905","38000.0","34325.0","36","6.83","1.88","0.83","1170.38","A","A3","HVAC TECH","4 years","MORTGAGE","55000.0","Source Verified","06-20-2018 05:01:45","07-22-2018 10:00:00","06-22-2018 10:00:00","06-20-2018 04:51:15","06-22-2018 08:52:23","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135591842"," ","Credit card refinancing","Credit card refinancing","321xx","FL","","0","0","25507","0.0","56.5","42.51","0","0.0","09-19-2001 17:00:00","765","769","0"," "," "," "," ","30","2","9","0","110952","33193.0","56.5","58700","18","105631","10"," ","f","","0","0","0","0","0","null","9","0","30","165454","110952","12328","8","6","6","100","0","0","0","5","162","6","201","30","58700","6","6","0","6.83","JOINT","CASH","100000.0","26.59","Source Verified","0","2","0","0","30","77616.0"," ","0","0","8249.0","55.7","0","1","0","0","573","43827","700","704","08-19-2001 17:00:00","0","2","13","52.0","2","13","0","0"," "
"135643064","153889345","15000.0","12100.0","36","8.08","1.88","0.83","470.6","A","A5","Mission Hospital of St Joseph ","2 years","RENT","75000.0","Source Verified","06-20-2018 18:31:41","07-21-2018 06:00:00","06-21-2018 06:00:00","06-20-2018 18:08:24","06-20-2018 18:37:05","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135643064"," ","Credit card refinancing","Credit card refinancing","928xx","CA","","0","12","22778","12.5","28.1","8.34","0","0.0","11-20-2007 16:00:00","695","699","0","50"," ","12"," ","0","0","13","0","19711","11749.0","28.9","31700","30","11687","22"," ","f","","0","0","0","0","0","61","13","6","0","52387","19711","1516","16","4","8","90","0","0","0","8","127","5","118","0","40700","5","9","0","8.08","INDIVIDUAL","CASH"," "," "," ","2","4","0","0","57","7962.0","68.1","6","12","4898.0","37.6","1","0","1","0","650"," "," "," "," "," "," "," "," "," "," "," "," "," "
"135008187","153078567","12000.0","9875.0","36","8.08","1.88","0.83","376.48","A","A5","Director of Business Development","10+ years","MORTGAGE","129000.0","Not Verified","06-21-2018 12:23:06","07-21-2018 14:00:00","06-21-2018 14:00:00","06-12-2018 08:10:56","06-21-2018 12:25:44","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135008187"," ","Debt consolidation","Debt consolidation","601xx","IL","","0","6","2559","66.7","85.3","21.47","0","0.0","05-11-1984 17:00:00","710","714","1","40"," ","1","40","7","2","11","0","44152","18778.0","75.4","17400","21","35763","17"," ","f","","0","2","0","0","0","40","11","2","1","477663","431199","39200","7","3","3","76","0","0","0","2","18","6","409","1","24900","6","8","0","8.08","INDIVIDUAL","CASH"," "," "," ","1","2","0","2","16","25374.0","71.0","2","3","8680.0","72.8","1","1","1","3948.48","3800"," "," "," "," "," "," "," "," "," "," "," "," "," "
"135660114","153887441","15000.0","10900.0","36","6.83","1.88","0.83","462.0","A","A3","Document Control","1 year","RENT","85000.0","Not Verified","06-20-2018 19:14:52","07-22-2018 14:00:00","06-22-2018 14:00:00","06-20-2018 18:46:58","06-22-2018 11:02:15","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135660114"," ","Credit card refinancing","Credit card refinancing","754xx","TX","","0","0","7482","0.0","56.0","7.67","0","0.0","11-20-2008 16:00:00","740","744","0"," "," "," "," ","26","4","4","0","17620","9518.0","56.0","17000","10","21000","3"," ","f","","0","0","0","0","0","null","4","0","26","38000","17620","4405","3","2","3","100","0","0","0","3","115","2","50","26","17000","2","3","0","6.83","INDIVIDUAL","CASH"," "," "," ","0","1","0","0","27","8102.0","38.6","0","0","8294.0","46.4","0","0","0","0","900"," "," "," "," "," "," "," "," "," "," "," "," "," "
"135530289","153764077","35000.0","21150.0","60","7.46","2.27","0.59","700.67","A","A4","Director","< 1 year","MORTGAGE","100000.0","Source Verified","06-18-2018 23:40:51","07-19-2018 10:00:00","06-19-2018 10:00:00","06-18-2018 23:31:13","06-19-2018 09:12:24","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135530289"," ","Debt consolidation","Debt consolidation","920xx","CA","","0","4","44605","0.0","16.6","6.16","0","0.0","07-18-2006 17:00:00","760","764","0"," "," ","6"," ","3","5","6","0","10529","8895.0","16.6","53500","14","11765","5"," ","f","","0","0","0","0","0","null","6","3","3","564015","507068","84511","5","4","4","100","0","0","0","4","92","4","143","3","53500","4","4","0","7.48","INDIVIDUAL","CASH"," "," "," ","2","1","0","0","31","1634.0","13.9","2","3","4185.0","16.1","2","0","1","3013.33","3000"," "," "," "," "," "," "," "," "," "," "," "," "," "
"135486335","153728060","35000.0","18425.0","60","6.83","2.27","0.59","690.24","A","A3","Owner","10+ years","OWN","70000.0","Not Verified","06-18-2018 17:10:04","07-19-2018 14:00:00","06-19-2018 14:00:00","06-18-2018 17:02:47","06-19-2018 11:13:17","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135486335"," ","Credit card refinancing","Credit card refinancing","913xx","CA","","0","1","78707","0.0","38.2","38.06","0","0.0","04-18-1995 17:00:00","770","774","0","65"," ","0"," ","44","1","12","0","88264","48693.0","38.2","127400","33","66652","13"," ","f","","0","0","0","0","0","null","12","0","19","194052","88264","7355","11","4","8","97","0","0","0","19","148","4","278","44","127400","4","8","0","6.85","INDIVIDUAL","DIRECT_PAY"," "," "," ","0","4","0","1","19","39571.0","59.4","0","0","20400.0","45.5","1","1","3","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"135675074","153920487","7000.0","4500.0","36","14.52","7.40","1.15","241.02","C","C3","socialwork","10+ years","RENT","40000.0","Source Verified","06-21-2018 11:04:35","07-21-2018 18:00:00","06-21-2018 18:00:00","06-21-2018 11:01:42","06-21-2018 15:10:14","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135675074"," ","Home improvement","Home improvement","582xx","ND","","0","4","17376","0.0","23.5","4.95","2","0.0","09-20-1984 17:00:00","675","679","1","13","73","0","13","3","0","11","1","6081","6081.0","17.0","22700","29","0","18"," ","f","","1","0","0","0","0","null","11","2","3","35700","6081","553","6","1","5","92","0","0","0","11","405","2","211","3","35700","2","11","0","14.26","INDIVIDUAL","CASH"," "," "," ","1","0","0","0","60","0.0"," ","2","4","5324.0","17.0","0","1","3","0","825"," "," "," "," "," "," "," "," "," "," "," "," "," "
"135459986","153713698","8000.0","5025.0","36","15.49","7.40","1.15","279.25","C","C4","Personal Assistant ","1 year","RENT","27000.0","Not Verified","06-21-2018 07:56:07","07-21-2018 10:00:00","06-21-2018 10:00:00","06-21-2018 07:51:18","06-21-2018 08:08:56","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135459986"," ","Debt consolidation","Debt consolidation","346xx","FL","","0","2","273","100.0","81.8","21.64","1","0.0","07-20-2003 17:00:00","665","669","1","22"," ","0"," ","40","0","4","0","13138","1227.0","81.8","1500","9","27729","4"," ","f","","0","0","0","0","0","null","4","0","13","29229","13138","3285","2","1","1","77","0","0","0","5","103","1","179","40","1500","1","1","1521","15.23","INDIVIDUAL","CASH"," "," "," ","0","3","0","2","13","11911.0","43.0","0","0","1227.0","44.9","0","2","1","0","450"," "," "," "," "," "," "," "," "," "," "," "," "," "
"135248719","153500911","40000.0","6425.0","60","6.19","2.27","0.59","776.86","A","A2","Professor","5 years","MORTGAGE","163000.0","Verified","06-17-2018 12:05:13","07-18-2018 14:00:00","06-18-2018 14:00:00","06-15-2018 07:17:48","06-18-2018 13:03:30","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135248719"," ","Debt consolidation","Debt consolidation","038xx","NH","","0","5","38940","55.6","67.6","30.47","0","0.0","02-14-2001 16:00:00","690","694","0"," "," ","11"," ","24","2","21","0","328587","131442.0","67.2","120300","46","194415","14"," ","f","","0","0","0","0","0","null","21","2","5","739402","668241","31821","12","5","9","100","0","0","0","28","154","7","208","8","176300","7","11","0","6.21","INDIVIDUAL","DIRECT_PAY"," "," "," ","1","7","0","0","26","195688.0","84.1","1","4","33156.0","73.6","0","4","1","2727.53","2500"," "," "," "," "," "," "," "," "," "," "," "," "," "
"135714203","153948764","5000.0","4675.0","36","8.08","1.88","0.83","156.87","A","A5","Supervisor ","10+ years","MORTGAGE","67000.0","Not Verified","06-24-2018 04:30:32","07-24-2018 10:00:00","06-24-2018 10:00:00","06-21-2018 19:54:06","06-24-2018 07:17:48","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135714203"," ","Credit card refinancing","Credit card refinancing","210xx","MD","","0","2","108","100.0","89.2","12.38","1","0.0","11-21-2004 16:00:00","675","679","0","14"," ","21","41","124","1","7","0","27449","1735.0","64.3","1000","17","37152","7"," ","f","","0","0","0","0","0","null","7","0","16","315652","262181","43697","1","1","1","76","0","0","0","9","157","2","163","16","2700","2","4","341","8.08","INDIVIDUAL","CASH"," "," "," ","0","2","0","1","21","25714.0","69.2","0","1","892.0","68.9","1","0","0","1716.88","1700"," "," "," "," "," "," "," "," "," "," "," "," "," "
"135750047","153984807","5000.0","4200.0","36","14.52","7.40","1.15","172.16","C","C3","career coach","8 years","RENT","38000.0","Not Verified","06-22-2018 16:33:26","07-22-2018 18:00:00","06-22-2018 18:00:00","06-22-2018 16:29:03","06-22-2018 16:40:49","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135750047"," ","Debt consolidation","Debt consolidation","339xx","FL","","0","12","26577","0.0","15.6","27.86","0","0.0","04-21-2012 17:00:00","670","674","0","38"," ","7"," ","7","0","32","0","14167","5764.0","13.4","31500","34","19304","31"," ","f","","0","1","0","0","0","38","32","7","6","62204","14167","443","11","8","11","97","0","0","0","3","74","15","64","6","42900","15","31","256","14.26","INDIVIDUAL","CASH"," "," "," ","1","1","0","0","47","8403.0","43.5","7","12","2006.0","22.8","0","0","2","0","125"," "," "," "," "," "," "," "," "," "," "," "," "," "
"135734039","153979722","10000.0","9100.0","36","6.83","1.88","0.83","308.0","A","A3","Owner","10+ years","RENT","43000.0","Not Verified","06-22-2018 12:27:57","07-22-2018 14:00:00","06-22-2018 14:00:00","06-22-2018 12:15:28","06-22-2018 13:46:41","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=135734039"," ","Credit card refinancing","Credit card refinancing","010xx","MA","","0","10","26809","0.0","40.4","6.53","0","0.0","03-21-1974 17:00:00","755","759","2"," "," ","6"," ","5","0","8","0","13791","13791.0","30.8","40600","19","0","17"," ","f","","0","0","0","0","0","null","8","8","5","50600","13791","1724","15","5","7","100","0","0","0","2","138","5","531","5","50600","5","8","0","6.83","INDIVIDUAL","DIRECT_PAY"," "," "," ","5","0","0","0","111","0.0"," ","8","10","12717.0","30.8","0","0","3","0","1250"," "," "," "," "," "," "," "," "," "," "," "," "," "
